Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABB,ABB Ltd Common Stock,$26.30,0.83,3.259%,50396154023.00,Switzerland,,2657651,Energy,Electrical Products
AMR,Alpha Metallurgical Resources Inc. Common Stock,$138.60,14.12,11.343%,2401119706.00,United States,2018,635575,Energy,Coal Mining
APA,APA Corporation Common Stock,$34.67,1.99,6.089%,11320803837.00,United States,,10419867,Energy,Oil & Gas Production
AR,Antero Resources Corporation Common Stock,$30.77,1.24,4.199%,9419284861.00,,2013,8058032,Energy,Oil & Gas Production
ARCH,Arch Resources Inc. Class A Common Stock,$121.69,5.80,5.005%,2257730268.00,United States,2016,581377,Energy,Coal Mining
ARKO,ARKO Corp. Common Stock,$9.37,0.19,2.07%,1125098459.00,United States,,294487,Energy,Oil Refining/Marketing
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,$23.99,1.45,6.433%,3051413304.00,United States,1999,438769,Energy,Coal Mining
AROC,Archrock Inc. Common Stock,$6.64,0.30,4.732%,1033347191.00,United States,,754335,Energy,Oil & Gas Production
BKR,Baker Hughes Company Class A Common Stock,$21.28,0.52,2.505%,21530131993.00,United States,,8065329,Energy,Oilfield Services/Equipment
BORR,Borr Drilling Limited Common Shares,$3.59,0.11,3.161%,821597581.00,,2019,2414582,Energy,Oil & Gas Production
BP,BP p.l.c. Common Stock,$28.56,1.01,3.666%,88731978320.00,United Kingdom,,12246174,Energy,Integrated oil Companies
BROG,Brooge Energy Limited Ordinary Shares,$8.45,0.00,0.00%,926017366.00,United Kingdom,2018,191,Energy,Integrated oil Companies
BRY,Berry Corporation (bry) Common Stock,$7.62,0.38,5.249%,600153897.00,United States,2018,820023,Energy,Oil & Gas Production
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,$16.06,0.52,3.346%,3362991896.00,United States,2015,662712,Energy,Oil & Gas Production
BTU,Peabody Energy Corporation Common Stock ,$24.85,2.59,11.635%,3575915000.00,United States,2017,8839215,Energy,Coal Mining
CEQP,Crestwood Equity Partners LP,$28.54,1.68,6.255%,2986851788.00,United States,,561886,Energy,Oilfield Services/Equipment
CHK,Chesapeake Energy Corporation Common Stock,$95.49,3.60,3.918%,11539844273.00,United States,,1685573,Energy,Oil & Gas Production
CHRD,Chord Energy Corporation Common Stock,$137.25,11.20,8.885%,5689582362.00,United States,,542648,Energy,Oil & Gas Production
CIVI,Civitas Resources Inc. Common Stock,$58.03,4.18,7.762%,4934404813.00,United States,2017,771355,Energy,Oil & Gas Production
CLB,Core Laboratories N.V. Common Stock,$14.33,0.71,5.213%,663834484.00,Netherlands,1995,375110,Energy,Oilfield Services/Equipment
CLMT,Calumet Specialty Products Partners L.P. Common Units,$13.75,0.50,3.774%,1088313985.00,United States,2006,118275,Energy,Oil & Gas Production
CLR,Continental Resources Inc. Common Stock,$66.98,3.28,5.149%,24313807784.00,United States,2007,1249588,Energy,Oil & Gas Production
CNX,CNX Resources Corporation Common Stock,$15.87,0.70,4.614%,3006604414.00,United States,1999,3234930,Energy,Oil & Gas Production
COP,ConocoPhillips Common Stock,$103.00,4.24,4.293%,131122436595.00,United States,,9206816,Energy,Integrated oil Companies
CPE,Callon Petroleum Company Common Stock,$34.44,2.65,8.336%,2125281448.00,United States,,1812846,Energy,Oil & Gas Production
CRC,California Resources Corporation Common Stock,$39.02,2.19,5.946%,2941157200.00,,2020,628796,Energy,Oil & Gas Production
CRGY,Crescent Energy Company Class A Common Stock,$13.77,0.93,7.243%,664845398.00,,2021,641665,Energy,Oil & Gas Production
CRK,Comstock Resources Inc. Common Stock,$17.19,1.35,8.523%,4008107519.00,United States,,4098913,Energy,Oil & Gas Production
CTRA,Coterra Energy Inc. Common Stock,$26.66,1.15,4.508%,21210567419.00,United States,,7294356,Energy,Oil & Gas Production
