Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.90,0.07,2.473%,45650678817.00,,2013,38927495,Consumer Staples,Beverages (Production/Distribution)
ACI,Albertsons Companies Inc. Class A Common Stock,$25.59,0.93,3.771%,13611313144.00,United States,2020,3077679,Consumer Staples,Food Chains
AFRI,Forafric Global PLC Ordinary Shares,$11.50,-0.41,-3.442%,304253706.00,Gibraltar,,18359,Consumer Staples,Farming/Seeds/Milling
AGRO,Adecoagro S.A. Common Shares,$7.81,0.14,1.825%,867541267.00,Luxembourg,2011,512223,Consumer Staples,Farming/Seeds/Milling
ANDE,Andersons Inc. (The) Common Stock,$31.71,0.30,0.955%,1073729583.00,United States,,182229,Consumer Staples,Tobacco
ASAI,Sendas Distribuidora S A ADS,$16.73,0.19,1.149%,4511521097.00,,2021,1517920,Consumer Staples,Food Chains
BG,Bunge Limited Bunge Limited,$83.90,1.69,2.056%,12744256295.00,United States,2001,1161047,Consumer Staples,Farming/Seeds/Milling
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$18.27,0.66,3.748%,1309397673.00,United States,,819272,Consumer Staples,Packaged Foods
BHIL,Benson Hill Inc. Common Stock,$2.62,0.22,9.167%,538828590.00,,2021,554250,Consumer Staples,Farming/Seeds/Milling
BRBR,BellRing Brands Inc. Common Stock ,$21.39,0.28,1.326%,2897155844.00,United States,2022,600101,Consumer Staples,Beverages (Production/Distribution)
BRCC,BRC Inc. Class A Common Stock,$8.31,0.33,4.135%,437224309.00,,2022,358074,Consumer Staples,Specialty Foods
BRFS,BRF S.A.,$2.48,-0.02,-0.80%,2673729786.00,Brazil,,2318320,Consumer Staples,Meat/Poultry/Fish
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$45.73,0.57,1.262%,90672740078.00,Belgium,,2602108,Consumer Staples,Beverages (Production/Distribution)
BUR,Burford Capital Limited Ordinary Shares,$7.42,0.28,3.922%,1625350087.00,,2020,352604,Consumer Staples,Farming/Seeds/Milling
BYND,Beyond Meat Inc. Common Stock,$15.88,1.15,7.807%,1011043521.00,United States,2019,4075522,Consumer Staples,Specialty Foods
CAG,ConAgra Brands Inc. Common Stock,$33.47,0.35,1.057%,16086617788.00,United States,,4138495,Consumer Staples,Packaged Foods
CALM,Cal-Maine Foods Inc. Common Stock,$60.33,-0.20,-0.33%,2952317387.00,United States,1996,2494389,Consumer Staples,Farming/Seeds/Milling
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,$3.68,-0.01,-0.271%,991674701.00,Brazil,2020,625710,Consumer Staples,Food Chains
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$43.74,0.29,0.667%,19983922233.00,United Kingdom,,1829532,Consumer Staples,Beverages (Production/Distribution)
CCU,Compania Cervecerias Unidas S.A. Common Stock,$10.78,1.18,12.292%,1991620480.00,Chile,,690183,Consumer Staples,Beverages (Production/Distribution)
CELH,Celsius Holdings Inc. Common Stock,$92.77,2.94,3.273%,7017208519.00,United States,,683936,Consumer Staples,Beverages (Production/Distribution)
COCO,The Vita Coco Company Inc. Common Stock,$12.69,0.28,2.256%,706249869.00,United States,2021,198270,Consumer Staples,Beverages (Production/Distribution)
COKE,Coca-Cola Consolidated Inc. Common Stock,$423.00,13.25,3.234%,3965070447.00,United States,1972,41300,Consumer Staples,Beverages (Production/Distribution)
CPB,Campbell Soup Company Common Stock,$47.88,0.80,1.699%,14333567999.00,United States,,2019866,Consumer Staples,Packaged Foods
DAR,Darling Ingredients Inc. Common Stock,$68.48,2.06,3.101%,10982252030.00,United States,1997,1734799,Consumer Staples,Farming/Seeds/Milling
DEO,Diageo plc Common Stock,$168.86,1.79,1.071%,96161650154.00,United Kingdom,,452624,Consumer Staples,Beverages (Production/Distribution)
FDP,Fresh Del Monte Produce Inc. Common Stock,$24.09,0.05,0.208%,1152296344.00,Cayman Islands,1997,149941,Consumer Staples,Farming/Seeds/Milling
FIZZ,National Beverage Corp. Common Stock,$40.21,-0.08,-0.199%,3753130872.00,United States,,181572,Consumer Staples,Beverages (Production/Distribution)
FLO,Flowers Foods Inc. Common Stock,$25.28,0.25,0.999%,5355102039.00,United States,,1115138,Consumer Staples,Farming/Seeds/Milling
FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,$62.22,1.34,2.201%,22263723852.00,Mexico,,757650,Consumer Staples,Beverages (Production/Distribution)
GIS,General Mills Inc. Common Stock,$78.79,0.82,1.052%,46764673864.00,United States,,3953663,Consumer Staples,Food Chains
HRL,Hormel Foods Corporation Common Stock,$46.93,0.53,1.142%,25633053556.00,United States,,1588652,Consumer Staples,Meat/Poultry/Fish
HSY,The Hershey Company Common Stock,$226.30,4.87,2.199%,46387749983.00,United States,,839613,Consumer Staples,Specialty Foods
IBA,Industrias Bachoco S.A.B. de C.V. Common Stock,$45.78,-0.0234,-0.051%,2289000000.00,Mexico,1997,13709,Consumer Staples,Meat/Poultry/Fish
IMKTA,Ingles Markets Incorporated Class A Common Stock,$82.36,0.78,0.956%,1564376807.00,United States,1987,121612,Consumer Staples,Food Chains
INGR,Ingredion Incorporated Common Stock,$82.88,0.09,0.109%,5430368877.00,United States,,598380,Consumer Staples,Farming/Seeds/Milling
JBSS,John B. Sanfilippo & Son Inc. Common Stock,$77.30,1.58,2.087%,891028211.00,United States,1991,77420,Consumer Staples,Specialty Foods
JJSF,J & J Snack Foods Corp. Common Stock,$136.61,2.33,1.735%,2621853409.00,United States,1986,98441,Consumer Staples,Specialty Foods
K,Kellogg Company Common Stock,$72.74,0.74,1.028%,24739826530.00,United States,,2160183,Consumer Staples,Packaged Foods
KDP,Keurig Dr Pepper Inc. Common Stock,$36.57,0.60,1.668%,51787203370.00,United States,,5853432,Consumer Staples,Beverages (Production/Distribution)
KHC,The Kraft Heinz Company Common Stock,$33.62,0.67,2.033%,41199284294.00,United States,,7116173,Consumer Staples,Farming/Seeds/Milling
KO,Coca-Cola Company (The) Common Stock,$56.98,0.60,1.064%,246417370335.00,United States,,21474283,Consumer Staples,Beverages (Production/Distribution)
KOF,Coca Cola Femsa S.A.B. de C.V.  American Depositary Shares each representing 10 Units (each Unit consists of 3 Series B Shares and 5 Series L Shares),$57.55,0.97,1.714%,12090289656.00,Mexico,1993,273844,Consumer Staples,Beverages (Production/Distribution)
KR,Kroger Company (The) Common Stock,$45.45,1.16,2.619%,32533397199.00,United States,,6284260,Consumer Staples,Food Chains
LANC,Lancaster Colony Corporation Common Stock,$156.17,1.15,0.742%,4297798400.00,United States,,288752,Consumer Staples,Packaged Foods
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),$5.305,0.055,1.048%,524239951.00,Brazil,,23197,Consumer Staples,Farming/Seeds/Milling
LW,Lamb Weston Holdings Inc. Common Stock ,$79.00,1.83,2.371%,11354063596.00,,2016,1757832,Consumer Staples,Specialty Foods
MDLZ,Mondelez International Inc. Class A Common Stock,$58.14,0.56,0.973%,79684713810.00,United States,,6262741,Consumer Staples,Meat/Poultry/Fish
MGPI,MGP Ingredients Inc.,$102.29,1.44,1.428%,2249699362.00,United States,,144956,Consumer Staples,Beverages (Production/Distribution)
MKC,McCormick & Company Incorporated Common Stock,$75.04,0.59,0.792%,20132985944.00,United States,,1333534,Consumer Staples,Farming/Seeds/Milling
MNST,Monster Beverage Corporation,$89.40,2.05,2.347%,47103563253.00,United States,,2839210,Consumer Staples,Beverages (Production/Distribution)
NAPA,The Duckhorn Portfolio Inc. Common Stock,$14.81,0.50,3.494%,1705877424.00,,2021,1038061,Consumer Staples,Beverages (Production/Distribution)
NOMD,Nomad Foods Limited Ordinary Shares,$15.20,0.71,4.90%,2645353827.00,,2016,3093191,Consumer Staples,Specialty Foods
PEP,PepsiCo Inc. Common Stock,$168.67,2.66,1.602%,232778910637.00,United States,,5480933,Consumer Staples,Beverages (Production/Distribution)
PETS,PetMed Express Inc. Common Stock,$19.88,0.45,2.316%,417755298.00,United States,,308591,Consumer Staples,Retail-Drug Stores and Proprietary Stores
PPC,Pilgrim's Pride Corporation Common Stock,$23.62,0.23,0.983%,5646265788.00,United States,,653770,Consumer Staples,Meat/Poultry/Fish
PRMW,Primo Water Corporation Common Stock,$13.03,0.54,4.323%,2101026467.00,Canada,,773848,Consumer Staples,Farming/Seeds/Milling
RAD,Rite Aid Corporation Common Stock,$7.03,0.47,7.165%,391056334.00,United States,,2189041,Consumer Staples,Retail-Drug Stores and Proprietary Stores
SAM,Boston Beer Company Inc. (The) Common Stock,$334.19,9.52,2.932%,4108388827.00,United States,,79353,Consumer Staples,Beverages (Production/Distribution)
SENEA,Seneca Foods Corp. Class A Common Stock,$50.22,1.04,2.115%,398214920.00,United States,,30687,Consumer Staples,Packaged Foods
SENEB,Seneca Foods Corp. Class B Common Stock,$53.79,0.00,0.00%,426522910.00,United States,,46,Consumer Staples,Packaged Foods
SJM,J.M. Smucker Company (The) New Common Stock,$139.18,2.59,1.896%,14830651277.00,United States,,706189,Consumer Staples,Packaged Foods
SLVM,Sylvamo Corporation Common Stock,$34.73,0.57,1.669%,1532529147.00,United States,2021,288132,Consumer Staples,Paper
SMPL,The Simply Good Foods Company Common Stock,$31.99,0.91,2.928%,3210858277.00,United States,,900643,Consumer Staples,Packaged Foods
SONY,Sony Group Corporation American Depositary Shares ,$66.99,1.10,1.669%,82740301062.00,Japan,,1546546,Consumer Staples,Consumer Electronics/Appliances
STZ,Constellation Brands Inc. Common Stock,$237.43,4.70,2.02%,43788293909.00,United States,,922517,Consumer Staples,Beverages (Production/Distribution)
TAP,Molson Coors Beverage Company Class B Common Stock,$48.32,0.73,1.534%,10472616114.00,Canada,,1095051,Consumer Staples,Beverages (Production/Distribution)
THS,Treehouse Foods Inc. Common Stock,$42.07,1.09,2.66%,2357711509.00,United States,,549439,Consumer Staples,Packaged Foods
TR,Tootsie Roll Industries Inc. Common Stock,$34.58,0.80,2.368%,2382644197.00,United States,,114932,Consumer Staples,Specialty Foods
TSN,Tyson Foods Inc. Common Stock,$68.59,0.03,0.044%,24666838222.00,United States,,2832980,Consumer Staples,Meat/Poultry/Fish
TWNK,Hostess Brands Inc. Class A Common Stock,$24.06,0.41,1.734%,3284116906.00,United States,2015,1344641,Consumer Staples,Specialty Foods
UTZ,Utz Brands Inc Class A Common Stock ,$15.55,0.52,3.46%,1256639584.00,United States,2018,378491,Consumer Staples,Specialty Foods
UVV,Universal Corporation Common Stock,$46.80,0.42,0.906%,1151388623.00,United States,,122390,Consumer Staples,Tobacco
VITL,Vital Farms Inc. Common Stock,$11.71,0.39,3.445%,476363186.00,United States,2020,179084,Consumer Staples,Farming/Seeds/Milling
VZIO,VIZIO Holding Corp. Class A Common Stock,$9.91,0.22,2.27%,1916660615.00,,2021,363101,Consumer Staples,Consumer Electronics/Appliances
WBA,Walgreens Boots Alliance Inc. Common Stock,$33.20,0.77,2.374%,28693320813.00,United States,,6677624,Consumer Staples,Retail-Drug Stores and Proprietary Stores
WEST,Westrock Coffee Company Common Stock,$10.50,0.00,0.00%,766856906.00,United States,,39583,Consumer Staples,Specialty Foods
WMK,Weis Markets Inc. Common Stock,$73.89,1.33,1.833%,1987525953.00,United States,,74019,Consumer Staples,Food Chains
